,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
229,0,0,0,4,58,75,62,19,0,0,0,0,0,0,0,4,57,71,16,6,0,0,0,0
230,0,0,4,58,75,62,19,0,0,0,0,0,0,0,4,57,71,16,6,0,0,0,0,0
231,0,4,58,75,62,19,0,0,0,0,0,0,0,4,57,71,16,6,0,0,0,0,0,0
232,4,58,75,62,19,0,0,0,0,0,0,0,4,57,71,16,6,0,0,0,0,0,0,0
233,58,75,62,19,0,0,0,0,0,0,0,4,57,71,16,6,0,0,0,0,0,0,0,0
234,75,62,19,0,0,0,0,0,0,0,4,57,71,16,6,0,0,0,0,0,0,0,0,14
235,62,19,0,0,0,0,0,0,0,4,57,71,16,6,0,0,0,0,0,0,0,0,14,21
236,19,0,0,0,0,0,0,0,4,57,71,16,6,0,0,0,0,0,0,0,0,14,21,15
237,0,0,0,0,0,0,0,4,57,71,16,6,0,0,0,0,0,0,0,0,14,21,15,6
238,0,0,0,0,0,0,4,57,71,16,6,0,0,0,0,0,0,0,0,14,21,15,6,0
239,0,0,0,0,0,4,57,71,16,6,0,0,0,0,0,0,0,0,14,21,15,6,0,0
240,0,0,0,0,4,57,71,16,6,0,0,0,0,0,0,0,0,14,21,15,6,0,0,0
241,0,0,0,4,57,71,16,6,0,0,0,0,0,0,0,0,14,21,15,6,0,0,0,0
242,0,0,4,57,71,16,6,0,0,0,0,0,0,0,0,14,21,15,6,0,0,0,0,0
243,0,4,57,71,16,6,0,0,0,0,0,0,0,0,14,21,15,6,0,0,0,0,0,0
244,4,57,71,16,6,0,0,0,0,0,0,0,0,14,21,15,6,0,0,0,0,0,0,0
245,57,71,16,6,0,0,0,0,0,0,0,0,14,21,15,6,0,0,0,0,0,0,0,43
246,71,16,6,0,0,0,0,0,0,0,0,14,21,15,6,0,0,0,0,0,0,0,43,7
247,16,6,0,0,0,0,0,0,0,0,14,21,15,6,0,0,0,0,0,0,0,43,7,6
248,6,0,0,0,0,0,0,0,0,14,21,15,6,0,0,0,0,0,0,0,43,7,6,0
249,0,0,0,0,0,0,0,0,14,21,15,6,0,0,0,0,0,0,0,43,7,6,0,0
250,0,0,0,0,0,0,0,14,21,15,6,0,0,0,0,0,0,0,43,7,6,0,0,0
251,0,0,0,0,0,0,14,21,15,6,0,0,0,0,0,0,0,43,7,6,0,0,0,0
252,0,0,0,0,0,14,21,15,6,0,0,0,0,0,0,0,43,7,6,0,0,0,0,0
253,0,0,0,0,14,21,15,6,0,0,0,0,0,0,0,43,7,6,0,0,0,0,0,0
254,0,0,0,14,21,15,6,0,0,0,0,0,0,0,43,7,6,0,0,0,0,0,0,0
255,0,0,14,21,15,6,0,0,0,0,0,0,0,43,7,6,0,0,0,0,0,0,0,1
256,0,14,21,15,6,0,0,0,0,0,0,0,43,7,6,0,0,0,0,0,0,0,1,13
257,14,21,15,6,0,0,0,0,0,0,0,43,7,6,0,0,0,0,0,0,0,1,13,17
258,21,15,6,0,0,0,0,0,0,0,43,7,6,0,0,0,0,0,0,0,1,13,17,22
259,15,6,0,0,0,0,0,0,0,43,7,6,0,0,0,0,0,0,0,1,13,17,22,10
260,6,0,0,0,0,0,0,0,43,7,6,0,0,0,0,0,0,0,1,13,17,22,10,1
261,0,0,0,0,0,0,0,43,7,6,0,0,0,0,0,0,0,1,13,17,22,10,1,0
262,0,0,0,0,0,0,43,7,6,0,0,0,0,0,0,0,1,13,17,22,10,1,0,0
263,0,0,0,0,0,43,7,6,0,0,0,0,0,0,0,1,13,17,22,10,1,0,0,0
264,0,0,0,0,43,7,6,0,0,0,0,0,0,0,1,13,17,22,10,1,0,0,0,0
265,0,0,0,43,7,6,0,0,0,0,0,0,0,1,13,17,22,10,1,0,0,0,0,0
266,0,0,43,7,6,0,0,0,0,0,0,0,1,13,17,22,10,1,0,0,0,0,0,0
267,0,43,7,6,0,0,0,0,0,0,0,1,13,17,22,10,1,0,0,0,0,0,0,0
268,43,7,6,0,0,0,0,0,0,0,1,13,17,22,10,1,0,0,0,0,0,0,0,11
269,7,6,0,0,0,0,0,0,0,1,13,17,22,10,1,0,0,0,0,0,0,0,11,41
270,6,0,0,0,0,0,0,0,1,13,17,22,10,1,0,0,0,0,0,0,0,11,41,45
271,0,0,0,0,0,0,0,1,13,17,22,10,1,0,0,0,0,0,0,0,11,41,45,39
272,0,0,0,0,0,0,1,13,17,22,10,1,0,0,0,0,0,0,0,11,41,45,39,2
273,0,0,0,0,0,1,13,17,22,10,1,0,0,0,0,0,0,0,11,41,45,39,2,0
274,0,0,0,0,1,13,17,22,10,1,0,0,0,0,0,0,0,11,41,45,39,2,0,0
